scooter_id,xcoordinate,ycoordinate,power_level
0,0.906835415,0.776483656,0
1,0.928587101,0.804963535,2
2,0.904091137,0.784043026,1
3,0.906752306,0.804461476,0
4,0.900641332,0.781682623,4
5,0.899680346,0.790892536,2
6,0.873765362,0.808706636,4
7,0.913475725,0.789742473,5
8,0.915255652,0.790685343,4
9,0.916272927,0.785860147,5
10,0.906846838,0.805806828,0
11,0.905919248,0.811344341,3
12,0.901493082,0.791248851,1
13,0.90426412,0.797024127,1
14,0.898657441,0.799971543,2
15,0.885372377,0.780831426,1
16,0.884461798,0.799251719,2
17,0.926481046,0.802018501,4
18,0.904266032,0.803248782,2
19,0.904424552,0.792057115,0
20,0.875620019,0.801346346,0
21,0.900620964,0.810840044,3
22,0.89472533,0.806605356,4
23,0.911555941,0.784681159,5
24,0.896705079,0.80167712,4
25,0.895725088,0.790988754,2
26,0.894769387,0.78390922,2
27,0.88505307,0.794400956,2
28,0.912029514,0.794156816,0
29,0.905291991,0.797359652,1
30,0.887943081,0.810355396,3
31,0.910735881,0.791620152,5
32,0.894200053,0.81190878,1
33,0.916803054,0.775319594,3
34,0.918575384,0.795928522,0
35,0.912561944,0.803268604,0
36,0.898574708,0.807674086,5
37,0.886931935,0.812817848,3
38,0.903069683,0.790823025,3
39,0.892022599,0.806689447,4
40,0.898780759,0.793080343,3
41,0.900760327,0.809638846,4
42,0.903383359,0.819992469,3
43,0.892658871,0.804313649,0
44,0.890464152,0.77164296,2
45,0.882518951,0.805212144,5
46,0.9070648,0.7786283,1
47,0.888454184,0.814076056,2
48,0.893472569,0.791926592,1
49,0.897302211,0.783961943,2
50,0.881988975,0.798647024,3
51,0.914148839,0.790868189,5
52,0.903624404,0.789827641,0
53,0.886853184,0.795055222,0
54,0.902028196,0.79439299,0
55,0.899579587,0.811573658,2
56,0.898172216,0.795628605,4
57,0.916206408,0.799290127,4
58,0.889211515,0.789612255,0
59,0.907768393,0.787969554,1
60,0.895003323,0.793518419,1
61,0.900127317,0.792876745,5
62,0.913097234,0.798804355,5
63,0.901461047,0.801733434,1
64,0.903416419,0.804139267,0
65,0.90243537,0.776710947,2
66,0.901288631,0.803707398,0
67,0.900896136,0.803807021,3
68,0.905143051,0.794206075,5
69,0.894430138,0.808400537,2
70,0.902555996,0.796343476,4
71,0.891276252,0.770537882,4
72,0.913270961,0.818342017,0
73,0.898812048,0.802598397,4
74,0.876728105,0.782260442,5
75,0.904479136,0.787667841,4
76,0.880174888,0.806817694,3
77,0.900671449,0.792033576,3
78,0.904381783,0.809963068,0
79,0.916420803,0.800891916,5
80,0.888101848,0.795182828,2
81,0.914651884,0.804225922,5
82,0.89886393,0.804955723,1
83,0.895361834,0.79678443,5
84,0.90909684,0.786790483,0
85,0.892467613,0.789071745,1
86,0.905907571,0.807589446,0
